tamanho;algoritmo;cores;qtd_primos;tempo;speedup
100000000;mpi;1;5761455;27,2098;
100000000;mpi;1;5761455;27,2224;
100000000;mpi;1;5761455;27,1724;
100000000;mpi;1;5761455;27,2927;
100000000;mpi;1;5761455;27,2164;
100000000;mpi;1;5761455;27,228;
100000000;mpi;1;5761455;27,3395;
100000000;mpi;1;5761455;27,2128;
100000000;mpi;1;5761455;27,2308;
150000000;mpi;1;8444396;46,6616;
150000000;mpi;1;8444396;46,7077;
150000000;mpi;1;8444396;46,7825;
150000000;mpi;1;8444396;46,71;
150000000;mpi;1;8444396;46,6538;
150000000;mpi;1;8444396;46,6529;
150000000;mpi;1;8444396;46,7035;
150000000;mpi;1;8444396;46,6351;
150000000;mpi;1;8444396;46,6206;
150000000;mpi;1;8444396;46,709;
200000000;mpi;1;11078937;68,8184;
200000000;mpi;1;11078937;68,6732;
200000000;mpi;1;11078937;68,7481;
200000000;mpi;1;11078937;68,7488;
200000000;mpi;1;11078937;68,8464;
200000000;mpi;1;11078937;69,4669;
200000000;mpi;1;11078937;68,7394;
200000000;mpi;1;11078937;68,7546;
200000000;mpi;1;11078937;68,7572;
200000000;mpi;1;11078937;68,7454;
10000000;mpi;4;664579;0,4921;
10000000;mpi;4;664579;0,482;
10000000;mpi;4;664579;0,535;
10000000;mpi;4;664579;0,4389;
10000000;mpi;4;664579;0,4347;
10000000;mpi;4;664579;0,4349;
10000000;mpi;4;664579;0,4337;
10000000;mpi;4;664579;0,4374;
10000000;mpi;4;664579;0,4433;
10000000;mpi;4;664579;0,4355;
50000000;mpi;4;3001134;3,5532;
50000000;mpi;4;3001134;3,574;
50000000;mpi;4;3001134;3,5748;
50000000;mpi;4;3001134;3,5849;
50000000;mpi;4;3001134;3,6234;
50000000;mpi;4;3001134;3,6069;
50000000;mpi;4;3001134;3,5875;
50000000;mpi;4;3001134;3,6047;
50000000;mpi;4;3001134;3,5888;
50000000;mpi;4;3001134;3,6007;
100000000;mpi;4;5761455;8,7317;
100000000;mpi;4;5761455;8,6199;
100000000;mpi;4;5761455;8,6252;
100000000;mpi;4;5761455;8,6069;
100000000;mpi;4;5761455;8,8365;
100000000;mpi;4;5761455;8,637;
100000000;mpi;4;5761455;8,6019;
100000000;mpi;4;5761455;8,604;
100000000;mpi;4;5761455;8,6437;
100000000;mpi;4;5761455;8,6286;
